date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:10	87/87	---MC-	200	added ('OK')	text/plain	date:Thu,%2024%20Dec%202020%2017:52:10%20GMT	http://mixpakrecords.com/robots.txt		(from )
18:52:13	22648/22648	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:52:11%20GMT	http://mixpakrecords.com/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/index.html	(from )
18:52:18	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2024%20Dec%202020%2017:52:17%20GMT	http://mixpakrecords.com/wordpress/xmlrpc.php	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/xmlrpc.1.delayed	(from http://mixpakrecords.com/)
18:52:20	689/689	---M--	200	added ('OK')	image/png	etag:%22300a99-2b1-5663184b22340%22	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/favicon.png	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/favicon.png	(from http://mixpakrecords.com/)
18:52:23	13821/13821	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Dec%202020%2017:52:21%20GMT	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-touch.png	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-touch.png	(from http://mixpakrecords.com/)
18:52:26	35866/35866	---M--	200	added ('OK')	text/css	etag:%22300aec-8c1a-5663184db88fd%22	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/style.css?ver=1.30	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/stylefaf8.css	(from http://mixpakrecords.com/)
18:52:32	876/876	---MC-	200	added ('OK')	text/xml	date:Thu,%2024%20Dec%202020%2017:52:32%20GMT	http://mixpakrecords.com/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/xmlrpc0db0.php	(from http://mixpakrecords.com/)
18:52:35	1045/1045	---M--	200	added ('OK')	application/xml	etag:%221e0d19-415-549c208ec0590%22	http://mixpakrecords.com/wordpress/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-includes/wlwmanifest.xml	(from http://mixpakrecords.com/)
18:52:39	2172/2172	---MC-	200	added ('OK')	application/json	date:Thu,%2024%20Dec%202020%2017:52:37%20GMT	http://mixpakrecords.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmixpakrecords.com%2F	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wp-json/oembed/1.0/embede826.json	(from http://mixpakrecords.com/)
18:52:48	2271/2271	---MC-	200	added ('OK')	text/xml	date:Thu,%2024%20Dec%202020%2017:52:41%20GMT	http://mixpakrecords.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmixpakrecords.com%2F&format=xml	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wp-json/oembed/1.0/embedad0f	(from http://mixpakrecords.com/)
18:53:04	52672/52672	---MC-	200	added ('OK')	application/json	date:Thu,%2024%20Dec%202020%2017:52:32%20GMT	http://mixpakrecords.com/wp-json/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wp-json/index.html	(from http://mixpakrecords.com/)
18:53:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Dec%202020%2017:53:08%20GMT	http://mixpakrecords.com/artists	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/artists.b.delayed	(from http://mixpakrecords.com/)
18:53:18	23685/23685	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:10%20GMT	http://mixpakrecords.com/blog/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/blog/index.html	(from http://mixpakrecords.com/)
18:53:18	92230/92230	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2024%20Dec%202020%2017:52:57%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/music%20website/connect.facebook.net/en_US/fbevents.js	(from http://mixpakrecords.com/)
18:53:20	31484/31484	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:21%20GMT	http://mixpakrecords.com/artists/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/artists/index.html	(from http://mixpakrecords.com/)
18:53:20	16979/16979	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:21%20GMT	http://mixpakrecords.com/about/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/about/index.html	(from http://mixpakrecords.com/)
18:53:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Dec%202020%2017:53:22%20GMT	http://mixpakrecords.com/releases	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/releases	(from http://mixpakrecords.com/)
18:53:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Dec%202020%2017:53:23%20GMT	http://mixpakrecords.com/events	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/events	(from http://mixpakrecords.com/)
18:53:24	85385/85385	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:23%20GMT	http://mixpakrecords.com/releases/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/releases/index.html	(from http://mixpakrecords.com/)
18:53:25	14933/14933	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:25%20GMT	http://mixpakrecords.com/events/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/events/index.html	(from http://mixpakrecords.com/)
18:53:26	449/449	---M--	200	added ('OK')	image/svg+xml	etag:%22300a9c-1c1-5663184b6edd2%22	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-arrow-left.svg	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-arrow-left.svg	(from http://mixpakrecords.com/)
18:53:27	446/446	---M--	200	added ('OK')	image/svg+xml	etag:%22300a9e-1be-5663184ba9f24%22	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-arrow-right.svg	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/images/icon-arrow-right.svg	(from http://mixpakrecords.com/)
18:53:52	392265/392265	---M--	200	added ('OK')	application/javascript	etag:%22300a51-5fc49-5663184a78862%22	http://mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/bundle.js?ver=1.31	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/wordpress/wp-content/themes/mixpak2017/static/bundlec43a.js	(from http://mixpakrecords.com/)
18:53:58	69493/69493	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:27%20GMT	http://mixpakrecords.com/videos/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/videos/index.html	(from http://mixpakrecords.com/)
18:54:00	38468/38468	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:53:56%20GMT	http://mixpakrecords.com/releases/call-for-location/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/releases/call-for-location/index.html	(from http://mixpakrecords.com/)
18:54:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Dec%202020%2017:54:02%20GMT	http://mixpakrecords.com/videos/rovin/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/videos/rovin/index.html	(from http://mixpakrecords.com/)
18:54:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Dec%202020%2017:54:04%20GMT	http://mixpakrecords.com/videos/bota-bota	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/videos/bota-bota	(from http://mixpakrecords.com/)
18:54:05	14725/14725	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2017:54:05%20GMT	http://mixpakrecords.com/featured/slideshow/bota-bota/	C:/My%20Web%20Sites/music%20website/mixpakrecords.com/featured/slideshow/bota-bota/index.html	(from http://mixpakrecords.com/)
